date,facility,forecast_pieces,pieces_per_worker_shift,max_workers,available_trailers,trailer_capacity
2026-01-22,HUB-C,71070,10400,46,13,460
2026-01-22,HUB-D,71124,11100,50,14,480
2026-01-23,HUB-A,50517,9000,38,11,420
2026-01-23,HUB-B,60188,9700,42,12,440
2026-01-23,HUB-C,73022,10400,46,13,460
2026-01-23,HUB-D,79706,11100,50,14,480
2026-01-24,HUB-A,50952,9000,38,11,420
2026-01-24,HUB-B,59320,9700,42,12,440
2026-01-24,HUB-C,68199,10400,46,13,460
2026-01-24,HUB-D,82375,11100,50,14,480
2026-01-25,HUB-A,50630,9000,38,11,420
2026-01-25,HUB-B,59528,9700,42,12,440
2026-01-25,HUB-C,70128,10400,46,13,460
2026-01-25,HUB-D,77113,11100,50,14,480
2026-01-26,HUB-A,60368,9000,38,11,420
2026-01-26,HUB-B,65934,9700,42,12,440
2026-01-26,HUB-C,77963,10400,46,13,460
2026-01-26,HUB-D,85080,11100,50,14,480
2026-01-27,HUB-A,64731,9000,38,11,420
2026-01-27,HUB-B,71589,9700,42,12,440
2026-01-27,HUB-C,77922,10400,46,13,460
2026-01-27,HUB-D,88638,11100,50,14,480
2026-01-28,HUB-A,50912,9000,38,11,420
2026-01-28,HUB-B,63866,9700,42,12,440
2026-01-28,HUB-C,68982,10400,46,13,460
2026-01-28,HUB-D,79366,11100,50,14,480
2026-01-29,HUB-A,47869,9000,38,11,420
2026-01-29,HUB-B,61609,9700,42,12,440
2026-01-29,HUB-C,63597,10400,46,13,460
2026-01-29,HUB-D,70986,11100,50,14,480
2026-01-30,HUB-A,51025,9000,38,11,420
2026-01-30,HUB-B,57620,9700,42,12,440
2026-01-30,HUB-C,69524,10400,46,13,460
2026-01-30,HUB-D,84683,11100,50,14,480
2026-01-31,HUB-A,49338,9000,38,11,420
2026-01-31,HUB-B,58503,9700,42,12,440
2026-01-31,HUB-C,69657,10400,46,13,460
2026-01-31,HUB-D,79077,11100,50,14,480
2026-02-01,HUB-A,51435,9000,38,11,420
2026-02-01,HUB-B,59841,9700,42,12,440
2026-02-01,HUB-C,71247,10400,46,13,460
2026-02-01,HUB-D,79163,11100,50,14,480
